object_position,object_orientation,robot_pose,object_name,object_mass,object_friction,position_noise,orientation_noise,pregrasp_reward,grasp_reward,pregrasp_grasp_checkpoint,grasp_checkpoint
"[0.5051884922128923, 0.017464636325614832, 0.021999999999203223]","[0.0, 0.0, 0.489349140566367, 0.87208796495936]","[0.5403310250244084, 0.025122832304716805, 0.284258196928485]",cube,0.296505865,0.912199946,"[0.002666663657404057, -0.003371467090948669, 0.0]",-0.141600576,518.6450773,515.1929932,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5226244330580674, -0.0390350556203722, 0.02199999999901913]","[0.0, 0.0, 0.5250458059030154, 0.8510739695841091]","[0.5234510133649443, 0.031971431294607486, 0.24736471991317632]",cube,0.365047667,0.882744267,"[0.0010962817642190493, -0.003175133309801169, 0.0]",-0.101852513,517.9320585,515.1146745,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5405616519035433, 0.0088671572222912, 0.021999999998482095]","[0.0, 0.0, 0.5012025897068826, 0.8653299740972309]","[0.4516590960055595, 0.027678816430393077, 0.21357309842012917]",cube,0.564500225,0.540919975,"[0.0014891199388744007, -0.002135618207174062, 0.0]",0.065024927,511.8784864,513.6779911,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.527010553039442, -0.03763705341501128, 0.021999999999344766]","[0.0, 0.0, -0.317175865359469, 0.9483667383631039]","[0.48416378510573027, -0.04245680667955293, 0.2754832336255221]",cube,0.244131962,0.773965144,"[-0.00016453498492991284, -0.0035410821991202083, 0.0]",0.042384637,516.298751,510.3180428,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5392508109349659, -0.010487526377967515, 0.021999999997977866]","[0.0, 0.0, 0.43979633410573515, 0.8980975361881117]","[0.4912660029834391, 0.01797960752398861, 0.29655920349701553]",cube,0.751350018,0.945606646,"[0.0020668202671174554, -0.0022228341936776307, 0.0]",0.116990507,508.9436568,509.7144335,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4779530030394806, -0.07323092372803117, 0.02199999999852731]","[0.0, 0.0, 0.2697077895282663, 0.9629422143969888]","[0.4651973257347085, -0.03918909291995232, 0.25446566136186527]",cube,0.547401637,0.484538329,"[-0.00019539614314432064, -0.002772456517898674, 0.0]",0.031803292,513.1616843,507.7733086,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5055430423466448, 0.02724333648910994, 0.021999999998553208]","[0.0, 0.0, 0.337377166605979, 0.9413695594467252]","[0.5379598296991015, -0.04365980557320235, 0.2052292694485037]",cube,0.537807531,0.89009615,"[0.0035564563471093278, -0.004396493181157949, 0.0]",-0.118882971,513.9375697,505.1389529,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5401580047071466, 0.026947480142978014, 0.021999999998875815]","[0.0, 0.0, 0.4996787527927196, 0.8662107965198265]","[0.47185928292766666, 0.017610925210134645, 0.2747568357531072]",cube,0.418147958,0.707364182,"[-0.0014898270472811894, -0.004415222637673395, 0.0]",-0.023457233,513.6070268,503.7411564,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.47589432315590113, -0.0685942347570183, 0.02199999999827359]","[0.0, 0.0, 0.12993184306526404, 0.9915229277014544]","[0.48121438502006997, 0.01574456112859747, 0.24409579694079211]",cube,0.64234978,0.839570647,"[0.0038444204553149614, -0.0045982098226021615, 0.0]",0.133751479,523.7249613,502.7390983,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.48452811714013255, 0.03005721297719545, 0.02199999999944071]","[0.0, 0.0, -0.10383443966027578, 0.9945945953706146]","[0.46804103382142465, -0.028721644371879487, 0.20045614396193834]",cube,0.209842623,0.882781374,"[-0.0034490621777184794, -0.000676794479199461, 0.0]",-0.082931861,541.1500373,502.7286991,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
