object_position,object_orientation,robot_pose,object_name,object_mass,object_friction,position_noise,orientation_noise,pregrasp_reward,grasp_reward,pregrasp_grasp_checkpoint,grasp_checkpoint
"[0.5011972442121719, 0.009983168844425488, 0.029000093662876987]","[0.0, 0.0, 0.521255638693987, 0.8534005853816388]","[0.5474026268135468, -0.008583282069719499, 0.25184652209335584]",stone,0.787090558,0.742885582,"[-0.004978868804392252, -0.002514458221738611, 0.0]",-0.009190273,511.1317085,523.0957789,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4843661345459189, 0.05653518430802808, 0.02900003466760578]","[0.0, 0.0, -0.47833116022235744, 0.8781795381129838]","[0.5165135058368597, -0.03120255622337209, 0.2345071475066873]",stone,0.448959303,0.429595512,"[-0.002865703732106718, -0.002802007523571171, 0.0]",-0.13369321,510.0611658,515.4819929,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.48906661634872567, 0.030191447225477272, 0.029000095773603848]","[0.0, 0.0, 0.36790671240099665, 0.929862705441126]","[0.524206561358164, 0.006633562791333016, 0.28136834173590664]",stone,0.36640072,0.672933286,"[0.004752379082319724, -0.003953795432838836, 0.0]",0.155019749,511.0310468,515.4565383,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.49479009808050567, -0.06764710241448967, 0.02900007495029711]","[0.0, 0.0, 0.3121656406706575, 0.9500276905357432]","[0.450744838476807, -0.01908364717848167, 0.20934957820598815]",stone,0.642881463,0.727292921,"[-0.0001471838623428815, -0.003526884073460337, 0.0]",-0.021135633,508.5665241,515.3430259,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5405986085918961, -0.041587144774052315, 0.029000084472151414]","[0.0, 0.0, 0.46000618501475216, 0.8879157109479332]","[0.5201875297186712, 0.0452054138454452, 0.2953273728647445]",stone,0.778232577,0.612036323,"[0.004000863684436842, -0.0015585104776623736, 0.0]",-0.154814693,512.6478762,515.2816119,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5257230529346125, 0.07828327115497515, 0.029000099911242597]","[0.0, 0.0, 0.5166335731770153, 0.8562066053624846]","[0.4713026498177142, -0.007936782112897348, 0.2494227125510603]",stone,0.286200836,0.951682172,"[0.0032793233280238405, -0.0017859604174653805, 0.0]",-0.130010892,505.7604256,514.9661374,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5480583666176322, -0.029235142308217374, 0.0290000709450116]","[0.0, 0.0, 0.4113381778502899, 0.9114828047982053]","[0.5363363577092434, 0.025147362806525783, 0.28578810183385506]",stone,0.448686518,0.694474175,"[0.0027493292476096654, -0.004838089238496035, 0.0]",0.008789702,513.2121007,512.8488967,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4524828349660013, -0.037724504806516, 0.02900009962378393]","[0.0, 0.0, -0.16853403101190792, 0.9856958356363678]","[0.4600715292671141, 0.04628605758325553, 0.21777896101995003]",stone,0.337500921,0.853670625,"[-0.002541216397585241, -0.004974144069875201, 0.0]",0.128997768,507.7210987,505.3474084,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.47927299702826837, 0.07109167188694442, 0.02900009536651951]","[0.0, 0.0, -0.18265794842367772, 0.9831765222368022]","[0.49480332750675793, -0.02020913103950254, 0.2731271630790728]",stone,0.45975744,0.998319515,"[-0.0032191425494149505, -0.0030336017745136944, 0.0]",-0.104280501,514.6003114,505.3376885,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4904329604859875, 0.020095165975296675, 0.029000097201291635]","[0.0, 0.0, -0.24422875448230807, 0.9697176472994706]","[0.48237043331204243, -0.034862321996631834, 0.2816597643563528]",stone,0.308498182,0.934690152,"[-0.0017452913122609683, -0.004059770913254667, 0.0]",0.012962735,511.4948082,505.2552852,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
