object_position,object_orientation,robot_pose,object_name,object_mass,object_friction,position_noise,orientation_noise,pregrasp_reward,grasp_reward,pregrasp_grasp_checkpoint,grasp_checkpoint
"[0.5098195343960604, -0.07721004116286397, 0.03450000142788547]","[0.0, 0.0, -0.19197461563436538, 0.9813998914571153]","[0.5478896159439697, -0.02613751235586841, 0.28563534433474086]",cylinder,0.41620166,0.452285455,"[0, 0, 0]",0,516.3383907,508.0167505,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4821376934187756, -0.03718651954175131, 0.034500002123499705]","[0.0, 0.0, -0.18800403586023007, 0.9821682556977014]","[0.5129211788936396, -0.035890619780679416, 0.2926130442658259]",cylinder,0.609113661,0.521996901,"[0, 0, 0]",0,517.7543695,507.9983003,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4731726324820109, -0.018678898405822243, 0.03450000183336239]","[0.0, 0.0, 0.3264335333317132, 0.9452201586490702]","[0.5240666183706842, -0.032565761637284675, 0.20807173820776984]",cylinder,0.529496803,0.81800587,"[0, 0, 0]",0,510.1867563,507.5870498,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.517460812600062, -0.04566905066540198, 0.034500002293075]","[0.0, 0.0, -0.08060786702798198, 0.9967458912748018]","[0.5424941950253438, -0.03838727590257819, 0.2356204139698752]",cylinder,0.656459805,0.839203624,"[0, 0, 0]",0,510.6451619,505.5555613,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5110067743429081, -0.04586177926323561, 0.03450000205344588]","[0.0, 0.0, -0.20357069507571082, 0.9790602494772178]","[0.5317391544132413, -0.010284711747181305, 0.2891459598938061]",cylinder,0.588542123,0.996419833,"[0, 0, 0]",0,511.7897044,505.3506851,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5164616085902025, -0.02549275362620875, 0.034500002603541954]","[0.0, 0.0, 0.2624215528480816, 0.9649533297526889]","[0.4655360505295535, -0.011852254709182643, 0.28498923570172185]",cylinder,0.742094825,0.619426597,"[0, 0, 0]",0,511.4387365,505.1134389,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5322788311011927, -0.07326858171057789, 0.03450000128670046]","[0.0, 0.0, 0.47029475434807727, 0.8825094016681532]","[0.5146401761165045, -0.023025276701639064, 0.28306496441706813]",cylinder,0.377762621,0.597929936,"[0, 0, 0]",0,510.765062,504.8300877,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.47924790757372765, 0.05256698647860382, 0.03450000246652443]","[0.0, 0.0, 0.00455225581856107, 0.9999896384298002]","[0.491977347457698, -0.014192431535901433, 0.20890231036466822]",cylinder,0.704537475,0.934665308,"[0, 0, 0]",0,510.5947833,502.7574999,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4537857819719287, 0.017115212840331115, 0.03450000131350228]","[0.0, 0.0, -0.1234489877199709, 0.9923509194992034]","[0.5496137660645016, -0.018141979616629424, 0.2561839116320565]",cylinder,0.383995967,0.9465034,"[0, 0, 0]",0,519.7083832,502.7003167,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5200955449994165, -0.05104965663336913, 0.034500000760000246]","[0.0, 0.0, -0.25997213000152486, 0.965616120216761]","[0.5321599094418006, -0.04388972626983942, 0.27180461172291226]",cylinder,0.231533321,0.460969917,"[0, 0, 0]",0,511.8187045,502.5968732,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5441643681359648, -0.05968563042077295, 0.034500002091855844]","[0.0, 0.0, 0.2400923457870513, 0.9707500530489148]","[0.4603522167396846, 0.04075099598393292, 0.23193706067986647]",cylinder,0.599669297,0.996575044,"[0, 0, 0]",0,513.3178117,502.5650413,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5013108925523077, -0.013785494028265136, 0.034500000921892204]","[0.0, 0.0, -0.30729468310536906, 0.951614406014942]","[0.45441759222955586, -0.04764392379690711, 0.22862755547352032]",cylinder,0.27614508,0.646826913,"[0, 0, 0]",0,509.9538391,502.5641309,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.49954672255135407, -0.055526062632963655, 0.03450000171964168]","[0.0, 0.0, -0.3052903423536257, 0.9522593170274608]","[0.5178496428532274, 0.01435785021589793, 0.2581316748154931]",cylinder,0.497812241,0.607857769,"[0, 0, 0]",0,512.0437683,502.5616157,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5219421265673396, 0.002038963548308584, 0.0345000009071236]","[0.0, 0.0, 0.2762039029878734, 0.9610990604377185]","[0.49327495763491075, -0.012702340280967742, 0.20930617705100169]",cylinder,0.2727521,0.921513968,"[0, 0, 0]",0,507.453987,502.5351032,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.47458596624331767, -0.07987394118877142, 0.03450000130624389]","[0.0, 0.0, -0.428343313257611, 0.9036160722272994]","[0.4568882569343995, -0.029320177175939245, 0.20852220456693346]",cylinder,0.383181803,0.411324563,"[0, 0, 0]",0,509.401746,502.4821504,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.46755446583557064, 0.00461453407841507, 0.034500002687427686]","[0.0, 0.0, -0.34123946332372174, 0.9399763979327026]","[0.48698260937025206, -0.014456033412285962, 0.2051398119027547]",cylinder,0.76533359,0.614646196,"[0, 0, 0]",0,506.1676364,495.5293781,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5400877943305818, 0.03603098277211625, 0.03450000244254807]","[0.0, 0.0, -0.47640145472758444, 0.8792278737241224]","[0.48577591603562637, 0.033141512201488144, 0.259830411466153]",cylinder,0.697692975,0.567935565,"[0, 0, 0]",0,508.7313075,495.4532491,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
