object_position,object_orientation,robot_pose,object_name,object_mass,object_friction,position_noise,orientation_noise,pregrasp_reward,grasp_reward,pregrasp_grasp_checkpoint,grasp_checkpoint
"[0.4774312908636821, 0.04918528817489777, 0.021999999998772248]","[0.0, 0.0, 0.5047460757803994, 0.8632678605069734]","[0.48603933287891415, -0.030796873501042134, 0.2331399589261271]",cube,0.456661542,0.631221703,"[0, 0, 0]",0,510.2195784,523.3717431,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5408866570731999, 0.053925706298316875, 0.029000093613309262]","[0.0, 0.0, 0.5189823047563835, 0.8547849831096427]","[0.5448956452338082, 0.021791718106679098, 0.2967702015262003]",stone,0.784360089,0.882921243,"[0, 0, 0]",0,516.4185971,517.796955,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4777118626866281, 0.026115711086689808, 0.02900008322187094]","[0.0, 0.0, 0.40596092747063584, 0.9138904340057298]","[0.46536123200777, -0.03650191850765453, 0.25048914632597397]",stone,0.608602788,0.828116161,"[0, 0, 0]",0,510.1037764,512.791046,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5079166293880305, -0.07269215793631016, 0.029000079971575714]","[0.0, 0.0, 0.3957773549214576, 0.9183464952464154]","[0.48386064854367355, -0.03133438888881697, 0.25942291540060647]",stone,0.238870019,0.587052877,"[0, 0, 0]",0,511.3239713,512.7186156,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.47360148872314356, 0.03804849731496293, 0.0219999999991207]","[0.0, 0.0, 0.39175607802739065, 0.920069114430322]","[0.498115019619091, 0.026068650244446143, 0.21864987857630333]",cube,0.327057607,0.774065123,"[0, 0, 0]",0,514.4553482,510.3587033,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.49991869557082413, 0.04795619369725511, 0.029000079640046052]","[0.0, 0.0, -0.4985421880570459, 0.8668654374972468]","[0.4767740171641222, 0.003280438260011176, 0.28690195592334977]",stone,0.299812382,0.94274089,"[0, 0, 0]",0,510.5125951,510.1096454,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5439968296884906, -0.0014838136128539486, 0.029000096056986207]","[0.0, 0.0, 0.4414178884633202, 0.8973016481343293]","[0.4952416658142515, -0.033322322876166696, 0.2792870392837067]",stone,0.760807186,0.487595736,"[0, 0, 0]",0,514.621358,510.0801988,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5128297964943959, -0.06482594251013012, 0.02199999999847144]","[0.0, 0.0, -0.455564297720346, 0.8902028817312198]","[0.5339930930643132, -0.010397903597670191, 0.25512657341032396]",cube,0.568140902,0.897175107,"[0, 0, 0]",0,508.7342988,508.5532117,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4952642923328993, -0.04287573856124597, 0.021999999998215957]","[0.0, 0.0, -0.02374992923515053, 0.9997179306491033]","[0.461437269007105, -0.03835821496329317, 0.20433310821064102]",cube,0.665189355,0.893053366,"[0, 0, 0]",0,510.937554,508.344539,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.49310449814158025, 0.01855776125892973, 0.02199999999916]","[0.0, 0.0, 0.1473978906316421, 0.9890772779906242]","[0.514921642571196, 0.016728035388104856, 0.2363727594889006]",cube,0.313974237,0.507398624,"[0, 0, 0]",0,511.4201276,508.1902975,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
